quote,source
The blood will flow... suddenly.,The Long Walk
Most conspiracies are just capitalism.,Inside Job
That's a bingo!,Inglourious Basterds
Everyone keeps telling me how my story is supposed to go.,Spider-Man: Across the Spider-Verse
"Welcome to the party, pal!",Die Hard
I drive.,Baby Driver
We're apex predators. What's gonna keep us in check?,Chronicle
The world was never meant to be on one animal's shoulders.,Zootopia 2
The first rule of Fight Club is: you do not talk about Fight Club.,Fight Club
"There are no two words in the English language more harmful than ""good job.""",Whiplash
We accept the reality of the world with which we're presented.,The Truman Show
"Now I am become Death, the destroyer of worlds.",Oppenheimer
"For my whole life, I didn't know if I even really existed.",Joker
Anyone can wear the mask.,Spider-Man: Into the Spider-Verse
Do you feel held by him? Does he feel like home to you?,Midsommar
Sell me this pen.,The Wolf of Wall Street
"Your choices, your actions — that's what makes you who you are.",Superman
No one is beyond saving.,Spider-Man: No Way Home
Fun isn't something one considers when balancing the universe.,Avengers: Infinity War
I am inevitable.,Avengers: Endgame
I want to fight you for me.,Scott Pilgrim vs. the World
You don't get to choose who Riley is.,Inside Out 2
"Take her to the moon for me, okay?",Inside Out
Maximum effort!,Deadpool
Chicken jockey!,A Minecraft Movie
And I am a wild robot.,The Wild Robot
We never lose our demons. We only learn to live above them.,Doctor Strange
Let's-a go!,The Super Mario Bros. Movie
It's every man for himself where I come from.,Marty Supreme
Guns give insecure men the illusion of power.,On the Count of Three
This world already left you for dead.,Sinners
Hope is not a strategy.,F1
There are two kinds of people in this world: those who swing and those who don't.,Swing Girls
This is officially the best day of my life.,Project X
"Isn't it strange, to create something that hates you?",Ex Machina
At least we tried.,Don't Look Up
The only thing I do know is that we have to be kind.,Everything Everywhere All at Once
This is a story of boy meets girl.,(500) Days of Summer
Anyone can cook.,Ratatouille
I'm not a killer. I'm a snatcher.,Bullet Train
Not super. Not heroes. Not giving up.,Thunderbolts*
Life is not like in the movies. Life... is much harder.,Cinema Paradiso
"A real loser is somebody that's so afraid of not winning, they don't even try.",Little Miss Sunshine
"If memories could be canned, would they also have expiry dates?",Chungking Express
Rudeness is merely an expression of fear.,The Grand Budapest Hotel
I still have the feeling that we're characters in somebody's dream.,Before Sunrise
Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure.,Coach Carter
"Dad, what is a holdup?",City of God
No one survives alone.,The Eternaut
The tiny bit of eternity I spent with you is the greatest treasure of my life.,Crying Out Love in the Center of the World
There can never be peace between nations until there is first known that true peace which is within the souls of men.,The Prince of Egypt
"When it comes to dying for your country, it's better not to die at all.",All Quiet on the Western Front
Knowledge belongs to all men.,Embrace of the Serpent
"Without you, today's emotions would be the scurf of yesterday's.",Amélie
Say hello to my little friend!,Scarface
I can fix that.,Holes
"When given the choice between being right or being kind, choose kind.",Wonder
"Life is like the surf, so give yourself away like the sea.",Y Tu Mamá También
I am not complete.,Edward Scissorhands
I would have voted for Obama for a third term if I could.,Get Out
I want you to be the very best version of yourself that you can be.,Lady Bird
"Man is born crying. When he has cried enough, he dies.",Ran
"The moon... is beautiful, isn't it?",A Silent Voice: The Movie
"Two branches, one tree.",Karate Kid: Legends
Revenge won't take your pain away.,Supergirl
"We must always have faith in people. And, most importantly, we must always have faith in ourselves.",Legally Blonde
I'm so sick of people saying that love is all a woman is fit for,Little Women
"Nine to five, for service and devotion... you'd think that I would deserve a fair promotion.",9 to 5
You is kind. You is smart. You is important.,The Help
"We break windows, we burn things, because war is the only language men listen to.",Suffragette
"Hasta la vista, baby.",Terminator 2
"You come at the king, you best not miss.",The Wire
I am the one who knocks.,Breaking Bad
I drink and I know things.,Game of Thrones
"Be curious, not judgmental.",Ted Lasso
Friends don't lie,Stranger Things
It's not a lie if you believe it.,Seinfeld
You want it to be one way... but it's the other way.,The Wire
Everybody lies.,House M.D.
I want to believe.,The X-Files
"You can't just have a little bit of family, you know? It's all or nothing.",Six Feet Under
"You can't put a limit on anything. The more you dream, the farther you get.",Facing the Giants
The inches we need are everywhere around us.,Any Given Sunday
Great moments are born from great opportunity.,Miracle
"You know what beats brains? Guts, kid.",Cinderella Man
"It's not about how hard you hit, it's about how hard you can get hit, and keep moving forward. That's how winning is done.",Rocky Balboa
"Every man dies, not every man really lives.",Braveheart
The only thing standing between you and your goal is the story you keep telling yourself.,The Wolf of Wall Street
Don't ever let somebody tell you... you can't do something. Not even me.,The Pursuit of Happyness
Having dreams is what makes life tolerable.,Rudy
Great moments are born from great opportunity.,
There's a difference between knowing the path and walking the path,The Matrix
Remember who you are.,The Lion King
Sometimes you gotta run before you can walk.,The Avengers
The best is yet to come.,This Is Us
"You can't fall now, you got too much to lose.",8 Mile
"You either run from things, or you face them, Mr. White.",Breaking Bad
"We're all stories, in the end. Just make it a good one, eh?",The Doctor
I don't want to go.,The Doctor
We're all capable of the most incredible change. We can evolve while still staying true to who we are.,The Doctor
There's no point in being grown up if you can't be childish sometimes.,The Doctor
"I could do so much more. But I think, if I try to hang on to earthly things, it will kill me.",The Doctor
Spoilers,The Doctor
"Sometimes the only choices you have are bad ones, but you still have to choose.",The Doctor
"Hate is always foolish, and love is always wise.",The Doctor
